Site Set,Field,Bytesize(Approximately. After Serialize),Count,Top1%
0,recommend_context.request_context.request_info.context_info.rta_context.rta_exp_resp.topo_build_timestamp,119446,19907,6
0,recommend_context.request_context.request_info.context_info.rta_context.rta_exp_resp.user_exp_resp,15309206,19907,769
0,recommend_context.request_context.request_info.context_info.rta_context.rta_exp_resp.user_exp_resp.exp_info,14532832,19907,730
0,recommend_context.request_context.request_info.context_info.rta_context.rta_exp_resp.user_exp_resp.exp_info.layer_exp_info,14493018,19907,728
0,recommend_context.request_context.request_info.context_info.rta_context.rta_exp_resp.user_exp_resp.exp_info.layer_exp_info.exp_id,4957105,19907,249
0,recommend_context.request_context.request_info.context_info.rta_context.rta_exp_resp.user_exp_resp.exp_info.layer_exp_info.layer_id,4220500,19907,212
0,recommend_context.request_context.request_info.context_info.rta_context.rta_exp_resp.user_exp_resp.exp_info.layer_exp_info.rta_id,3145474,19907,158
0,recommend_context.request_context.request_info.context_info.rta_context.rta_exp_resp.user_exp_resp.sample_user_info,736569,19907,37
0,recommend_context.request_context.request_info.context_info.rta_context.rta_exp_resp.user_exp_resp.sample_user_info.final_sample_user_id,617127,19907,31
0,recommend_context.request_context.request_info.context_info.rta_context.rta_exp_resp.user_exp_resp.sample_user_info.sample_user_id,39816,19907,2
0,recommend_context.request_context.request_info.context_info.rta_context.rta_exp_resp.user_exp_resp.sample_user_info.sample_user_type,39816,19907,2
0,recommend_context.request_context.request_info.context_info.rta_context.rta_fl_models,17586999,19878,1668
0,recommend_context.request_context.request_info.context_info.rta_context.rta_fl_models.embedding,10263373,19878,610
0,recommend_context.request_context.request_info.context_info.rta_context.rta_fl_models.model_id,574119,19878,62
0,recommend_context.request_context.request_info.context_info.rta_context.rta_fl_models.model_name,2936710,19878,411
0,recommend_context.request_context.request_info.context_info.rta_context.rta_fl_models.model_tag,1221846,19878,191
0,recommend_context.request_context.request_info.context_info.rta_context.rta_fl_models.model_version,2380320,19878,384
0,recommend_context.request_context.request_info.context_info.rta_context.rta_throughout_info,24945,90,277
0,recommend_context.request_context.request_info.context_info.rta_context.rta_throughout_info.all_feature_groups,130,6,21
0,recommend_context.request_context.request_info.context_info.rta_context.rta_throughout_info.is_wuid_active,802,90,8
0,recommend_context.request_context.request_info.context_info.rta_context.rta_throughout_info.rta_id,1224,90,13
0,recommend_context.request_context.request_info.context_info.rta_context.rta_throughout_info.sp_rsp,594,3,198
0,recommend_context.request_context.request_info.context_info.rta_context.rta_throughout_info.wx_open_id,21375,90,237
0,recommend_context.request_context.request_info.context_info.rta_context.rta_throughout_info.wx_open_id.appid,7721,89,86
0,recommend_context.request_context.request_info.context_info.rta_context.rta_throughout_info.wx_open_id.openid,12560,89,141
0,recommend_context.request_context.request_info.context_info.skip_filter,2,1,2
0,recommend_context.request_context.request_info.finder_username,355348,3948,90
0,recommend_context.request_context.request_info.hit_pxxr_sample,79630,19907,4
0,recommend_context.request_context.request_info.max_proc_time,79630,19907,4
0,recommend_context.request_context.request_info.pacing_request_info,378238,19907,19
0,recommend_context.request_context.request_info.pacing_request_info.pacing_ip,278703,19907,14
